Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Diseases Associated With the TLR Signaling Cascade	11/35	0.11524087417894587	0.7629542166809248	0	0	1.6672473867595818	3.6024727515637887	UNC93B1;S100A1;BTK;TLR10;CD14;CD36;TLR6;TLR5;TLR4;S100A8;TLR2
Diseases of Immune System	11/35	0.11524087417894587	0.7629542166809248	0	0	1.6672473867595818	3.6024727515637887	UNC93B1;S100A1;BTK;TLR10;CD14;CD36;TLR6;TLR5;TLR4;S100A8;TLR2
Fatty Acid Metabolism	45/176	0.11635710344340802	0.7629542166809248	0	0	1.2509092923873237	2.690820144386359	PECR;ACAA2;ECHS1;HPGD;HSD17B3;LTC4S;ACACB;HACD2;ACACA;PTGS1;FADS2;ACADL;ACADM;SLC25A20;ACAD11;HADH;ABCD1;ALOXE3;FADS1;DECR1;ACBD7;PHYH;MECR;ACSL1;ELOVL5;MID1IP1;ACSL6;AKR1C3;PLA2G4A;CYP4B1;ACSL4;ELOVL6;ALDH3A2;ACLY;PCCA;ACOX1;SCD;FASN;EHHADH;PCCB;ACOT2;ACOT1;THRSP;SLC27A2;ACOT4
ADORA2B Mediated Anti-Inflammatory Cytokines Production	13/43	0.11813566148136079	0.7629542166809248	0	0	1.5764350453172205	3.3671417294191635	GNAZ;ADCY1;GNG11;GNAI1;ADCY5;IL6;GNG2;GNAT3;PRKAR2B;GNG7;PRKACG;GNB3;PRKACA
Biosynthesis of Maresin-Like SPMs	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	CYP2D6;CYP2E1;CYP3A4
Estrogen Biosynthesis	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	AKR1B15;HSD17B2;CYP19A1
MET Receptor Activation	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	HGF;HPN;HGFAC
Proton-coupled Monocarboxylate Transport	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	SLC16A1;SLC16A7;SLC16A8
RUNX3 Regulates Immune Response and Cell Migration	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	RORC;ITGAL;RUNX3
SARS-CoV-2 Targets PDZ Proteins in Cell-Cell Junction	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	TJP1;PATJ;CRB3
Mitochondrial Fatty Acid Beta-Oxidation of Unsaturated Fatty Acids	3/6	0.11920865054154181	0.7629542166809248	0	0	3.635752376536054	7.732808852186502	ACADL;ACADM;DECR1
Defective B3GALT6 Causes EDSP2 and SEMDJL1	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	BCAN;VCAN;BGN;GPC2;AGRN;HSPG2;GPC6
Defective B3GAT3 Causes JDSSDHD	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	BCAN;VCAN;BGN;GPC2;AGRN;HSPG2;GPC6
Defective B4GALT7 Causes EDS, Progeroid Type	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	BCAN;VCAN;BGN;GPC2;AGRN;HSPG2;GPC6
FRS-mediated FGFR3 Signaling	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	FGF17;FGF9;FGF20;PTPN11;SOS1;FGF2;FGFR3
PI-3K Cascade FGFR4	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	KLB;FGF17;FGF9;FGF20;PTPN11;FGFR4;FGF2
SHC-mediated Cascade FGFR4	7/20	0.12003289989941543	0.7629542166809248	0	0	1.9582805219843975	4.151533964398219	KLB;FGF17;FGF9;FGF20;FGFR4;SOS1;FGF2
Protein-protein Interactions at Synapses	24/88	0.12220418526009455	0.774225212804182	0	0	1.3647483690587139	2.8687856637331954	GRIA1;NLGN1;HOMER2;STXBP1;NTRK3;LIN7A;GRIN2B;GRM1;SYT7;BEGAIN;GRIN1;GRIN2A;SLITRK2;EPB41L2;LRFN1;EPB41L3;SLITRK6;SLITRK5;APBA1;PPFIA4;APBA2;PPFIA3;SHANK2;GRIA4
Activation of RAC1	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	PAK6;PAK3;SOS1;PAK5;PAK4
FGFR2c Ligand Binding and Activation	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	FGF17;FGF9;FGF20;FGF2;FGFR2
Glutathione Synthesis and Recycling	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	GGT7;GCLC;GGT6;CHAC1;GGT3P
POU5F1 (OCT4), SOX2, NANOG Activate Genes Related to Proliferation	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	NR6A1;SALL1;DPPA4;EPHA1;FGF2
Phospholipase C-mediated Cascade; FGFR3	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	FGF17;FGF9;FGF20;FGF2;FGFR3
eNOS Activation	5/13	0.12848795956697956	0.7984315698331478	0	0	2.2726745534678727	4.663346549076803	CYB5B;NOS3;CAV1;NMT2;CALM1
Adrenaline,noradrenaline Inhibits Insulin Secretion	9/28	0.13078572237057906	0.8075499365421469	0	0	1.7228379749001015	3.504588397978904	GNG2;GNG7;CACNA2D2;GNB3;ADRA2C;GNG11;GNAI1;ADRA2A;ADCY5
FLT3 Signaling in Disease	9/28	0.13078572237057906	0.8075499365421469	0	0	1.7228379749001015	3.504588397978904	CDKN1A;NOX4;PTPN11;GAB2;CBL;RPS27A;SOS1;SPTBN1;ETV6
Semaphorin Interactions	18/64	0.1319121029307922	0.8107851657831839	0	0	1.4237360147287919	2.8839473845769663	ITGB1;NRP1;SEMA4A;SEMA4D;ROCK2;SEMA3A;ITGA1;TREM2;RHOB;DPYSL4;PLXNA2;PLXNB3;FYN;PLXNB1;TLN1;PAK3;PLXNA4;CDK5R1
Post-translational Modification Synthesis of GPI-anchored Proteins	25/93	0.13244110030098932	0.8107851657831839	0	0	1.3379576953130354	2.70483836787682	CPM;NRN1;PSCA;NTM;LYPD3;THY1;MSLN;PRSS21;LY6G6C;PRND;GPIHBP1;OPCML;CD52;NEGR1;IZUMO1R;BST1;NRN1L;VNN2;LYPD6B;LY6D;SPACA4;MELTF;LY6H;ULBP2;GPLD1
O-linked Glycosylation	30/114	0.13256024818460282	0.8107851657831839	0	0	1.299913339110726	2.6267583264868977	GALNT13;THSD7B;ADAMTS12;THSD4;ADAMTS16;ADAMTS4;ADAMTSL1;ADAMTS2;ADAMTS13;ADAMTS1;ADAMTS18;ADAMTSL3;ADAMTS17;THSD7A;LARGE2;ST3GAL1;MUC4;ADAMTS6;MUC6;GALNT5;GALNT4;MUC16;GALNT3;SSPOP;MUC5B;MUC3A;B3GNT3;B4GALT6;ST6GALNAC3;MUC20
Phase 0 - Rapid Depolarisation	10/32	0.1335185848957048	0.8140866696618992	0	0	1.653295612886881	3.328934851570554	CACNG8;SCN11A;SCN8A;CACNA2D2;SCN4A;CALM1;FGF13;SCN2A;FGF12;SCN4B
Aquaporin-mediated Transport	15/52	0.1352427590249634	0.8172916310577578	0	0	1.4748612830454262	2.950731224307787	AQP6;AQP7;AQP4;AQP5;ADCY1;AQP3;GNG11;AQP1;ADCY5;GNG2;PRKAR2B;PRKACG;GNG7;GNB3;PRKACA
IRS-mediated Signalling	14/48	0.1358734710311216	0.8172916310577578	0	0	1.4979352968523532	2.9899255676740775	KLB;KL;PDE3B;PTPN11;GAB2;FGF2;FGF17;FGF9;AKT2;FGF20;FGFR4;SOS1;FGFR3;FGFR2
Metabolism of Water-Soluble Vitamins and Cofactors	33/127	0.13591480642210416	0.8172916310577578	0	0	1.2778625044088205	2.550264718818249	ALDH1L1;NNMT;SLC23A1;SHMT1;ALDH1L2;ACACB;ACACA;CYB5R3;ENPP2;SLC19A3;AOX1;PRSS3;SLC19A1;CYB5A;AMN;GSTO2;MCCC1;SLC52A3;SLC52A1;NMNAT2;DHFR;PARP10;SLC25A16;BST1;SLC5A8;BTD;PC;MTHFD1;VNN2;PCCA;SLC25A19;FASN;PCCB
PI3K Cascade	13/44	0.1361452382841715	0.8172916310577578	0	0	1.5254848455316246	3.0418671756436724	KLB;KL;PDE3B;PTPN11;GAB2;FGF2;FGF17;FGF9;AKT2;FGF20;FGFR4;FGFR3;FGFR2
Retinoid Metabolism and Transport	13/44	0.1361452382841715	0.8172916310577578	0	0	1.5254848455316246	3.0418671756436724	RETSAT;AKR1C1;AKR1C3;LPL;HSPG2;PLB1;GPC2;LRAT;APOB;AGRN;GPC6;LDLR;GPIHBP1
Metabolism of Folate and Pterines	6/17	0.14069157955610628	0.8394022154497752	0	0	1.9835055895380722	3.8900217338153253	DHFR;ALDH1L1;MTHFD1;SHMT1;ALDH1L2;SLC19A1
TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway	6/17	0.14069157955610628	0.8394022154497752	0	0	1.9835055895380722	3.8900217338153253	CD40LG;TNFSF11;TNFRSF11A;TNFRSF13C;LTB;BIRC3
SLC-mediated Transmembrane Transport	61/249	0.14736546935723543	0.8750636836776772	0	0	1.1816586243968297	2.2626867176885934	SLC25A1;SLC2A4;SLC4A3;SLC4A4;SLC2A6;SLC2A7;SLC16A7;SLC16A8;SLC26A11;SLC39A4;SLC34A2;SLC13A2;SLC13A3;SLC30A2;SLC11A2;SLC6A14;SLC2A12;SLC6A12;SLC6A11;SLCO1C1;SLC5A7;SLC7A5;SLC9A3;SLC5A8;SLC7A6;SLC25A18;SLC5A9;SLC9A5;SLC9A7;SLC29A4;SLC22A3;SLC45A3;SLC26A1;SLC24A3;SLC47A1;SLC41A2;SLC22A1;SLC1A3;SLC3A1;SLC5A1;SLC5A2;SLC6A20;SLC1A6;SLC5A5;SLC25A29;LCN12;SLC17A7;SLC12A2;SLC14A1;SLC10A6;SLC14A2;SLC16A1;CP;SLC2A9;SLCO4C1;SLCO1A2;SLC26A7;RHAG;CALM1;SLC26A4;SLC28A1
AKT Phosphorylates Targets in the Nucleus	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	AKT2;AKT3;FOXO6;FOXO1
Ketone Body Metabolism	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	ACSS3;OXCT1;AACS;ACAT1
MAPK3 (ERK1) Activation	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	IL6;MAP2K1;PTPN11;IL6ST
Prednisone ADME	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	HSD11B2;AKR1C1;CYP3A4;UGT2B7
Regulation of CDH11 Gene Transcription	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	HEYL;ZEB2;FOXF1;HOXC8
STAT5 Activation Downstream of FLT3 ITD Mutants	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	CDKN1A;NOX4;PTPN11;GAB2
p75NTR Regulates Axonogenesis	4/10	0.15026800532048543	0.8750636836776772	0	0	2.4239332096474953	4.594165151770446	RTN4R;MCF2;NGF;RTN4
Signaling by NTRK2 (TRKB)	8/25	0.15262223493519753	0.8861201401461468	0	0	1.7113987656343874	3.217069367380459	NTF4;BDNF;NTF3;FYN;PTPN11;SOS1;GRIN2B;CDK5R1
DAP12 Signaling	9/29	0.15518777214313592	0.8941142272301013	0	0	1.6365915950777803	3.0491656522568995	KLRK1;KLRC2;LCK;GRAP2;BTK;TREM2;FYN;SOS1;LAT
Regulation of Insulin Secretion	21/78	0.15578505058210818	0.8941142272301013	0	0	1.340469333986888	2.492305280112866	SNAP25;KCNC2;KCNB1;STXBP1;CACNA2D2;ACSL4;ADRA2C;GNG11;ADRA2A;GNAI1;ADCY5;GNA14;GNA15;GNG2;PRKAR2B;PRKACG;GNG7;GNB3;CD36;PRKACA;PLCB2
Diseases Associated With Glycosaminoglycan Metabolism	12/41	0.15640866954888372	0.8941142272301013	0	0	1.5050955005768492	2.7923781264646976	ACAN;BCAN;VCAN;OMD;BGN;GPC2;KERA;AGRN;FMOD;GPC6;HSPG2;PAPSS2
Signal Amplification	10/33	0.15643653759720055	0.8941142272301013	0	0	1.581312223590945	2.9334999940145883	GNA14;GNA15;GNG2;GNAT3;TBXA2R;GNG7;PLA2G4A;GNB3;GNG11;GNAI1
Molecules Associated With Elastic Fibres	11/37	0.1567573015349432	0.8941142272301013	0	0	1.538801036362012	2.8514852930883414	ITGB1;MFAP5;FBN3;TGFB2;BMP2;ITGB3;EMILIN3;FN1;ITGB8;BMP7;FBN1
RHOH GTPase Cycle	11/37	0.1567573015349432	0.8941142272301013	0	0	1.538801036362012	2.8514852930883414	ZAP70;ROCK2;LCK;CAV1;PAK6;STOM;RHOH;OSBPL11;PAK5;PAK4;VAMP3
Carnitine Shuttle	5/14	0.16601779610185172	0.9332503277979814	0	0	2.020026289337354	3.6272809944156266	MID1IP1;THRSP;SLC25A20;ACACB;ACACA
Glycogen Breakdown (Glycogenolysis)	5/14	0.16601779610185172	0.9332503277979814	0	0	2.020026289337354	3.6272809944156266	PYGM;PYGL;CALM1;GYG2;PGM1
Physiological Factors	5/14	0.16601779610185172	0.9332503277979814	0	0	2.020026289337354	3.6272809944156266	KAT2B;MME;NPR1;HIPK2;CES1
Regulation of TBK1, IKK? (IKBKE)-mediated Activation of IRF3, IRF7	5/14	0.16601779610185172	0.9332503277979814	0	0	2.020026289337354	3.6272809944156266	CD14;RPS27A;IKBKE;TLR4;OPTN
Regulation of TP53 Activity Through Association With Co-factors	5/14	0.16601779610185172	0.9332503277979814	0	0	2.020026289337354	3.6272809944156266	PPP1R13L;AKT2;AKT3;ZNF385A;TP73
Signaling by PDGF	16/58	0.16916390793991432	0.9474845096256552	0	0	1.38578073089701	2.4623759936970147	GRB7;PDGFB;PDGFA;PTPN11;THBS4;COL3A1;COL2A1;COL4A2;COL4A1;COL4A4;COL5A3;COL4A3;COL5A2;COL9A3;COL9A2;SOS1
G-protein Mediated Events	15/54	0.17169458662707876	0.9474845096256552	0	0	1.39904852181067	2.4651767147674337	PDE1C;PDE1B;PLA2G4A;ADCY1;GNAI1;ADCY5;GNA14;GNA15;GNAT3;PRKAR2B;PRKACG;KPNA2;PRKACA;CALM1;PLCB2
Acyl Chain Remodelling of PG	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	LPGAT1;PLA2G4B;PLA2G2A;PLA2G3;PLA2G4A;PLA2R1
Cell-extracellular Matrix Interactions	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	ITGB1;TESK1;PARVB;RSU1;FERMT2;LIMS1
Lewis Blood Group Biosynthesis	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	FUT6;FUT9;B3GALT1;B3GALT5;B4GALNT2;FUT3
PI-3K Cascade FGFR3	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	FGF17;FGF9;FGF20;PTPN11;FGF2;FGFR3
PKA Activation	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	PRKAR2B;PRKACG;ADCY1;CALM1;PRKACA;ADCY5
SHC-mediated Cascade FGFR3	6/18	0.17449536136097188	0.9474845096256552	0	0	1.8180974477958236	3.1741383743637703	FGF17;FGF9;FGF20;SOS1;FGF2;FGFR3
Activated NTRK2 Signals Through FYN	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	BDNF;FYN;GRIN2B
CREB Phosphorylation	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	RPS6KA5;RPS6KA2;RPS6KA1
GLI Proteins Bind Promoters of Hh Responsive Genes to Promote Transcription	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	HHIP;PTCH2;GLI1
Glycerophospholipid Catabolism	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	PNPLA7;GDPD1;ENPP6
Mitochondrial Uncoupling	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	PM20D1;SLC25A27;UCP2
RSK Activation	3/7	0.17621722080638957	0.9474845096256552	0	0	2.7266403895200555	4.733550880900224	RPS6KA6;RPS6KA2;RPS6KA1
Interleukin-10 Signaling	13/46	0.17634416066040473	0.9474845096256552	0	0	1.432848118648723	2.4864467519471094	CXCL8;CCL22;IL18;CXCL2;TNF;IL6;CCL5;CCL4;CCL3;IL12A;CCL19;CCR5;CCR2
Kidney Development	13/46	0.17634416066040473	0.9474845096256552	0	0	1.432848118648723	2.4864467519471094	ITGB1;RET;ROBO2;IRX1;IRX2;EYA1;WNT9B;PCDH19;FGF2;HOXC11;SALL1;MECOM;WNT4
Acyl Chain Remodelling of PS	7/22	0.17897991795392337	0.9537423025215918	0	0	1.6969598514736597	2.9195883185698803	PLA2G4B;PLA2G2A;MBOAT1;PLA2G4A;PLAAT3;PLA2R1;PLA1A
Blood Group Systems Biosynthesis	7/22	0.17897991795392337	0.9537423025215918	0	0	1.6969598514736597	2.9195883185698803	FUT6;FUT9;B3GALT1;B3GALT5;B4GALNT2;RHCE;FUT3
Defects in Vitamin and Cofactor Metabolism	7/22	0.17897991795392337	0.9537423025215918	0	0	1.6969598514736597	2.9195883185698803	AMN;BTD;PC;PCCA;MCCC1;PCCB;ACACA
FLT3 Signaling	11/38	0.17998957122520728	0.956501956374394	0	0	1.4817137695186475	2.540926292335331	LCK;AKT2;GRAP2;AKT3;FYN;PTPN11;GAB2;CBL;SLA2;RPS27A;SOS1
A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis	8/26	0.18106491934496083	0.9569871416466	0	0	1.6162178891983905	2.761954171613216	BCAN;VCAN;XYLT2;BGN;GPC2;AGRN;GPC6;HSPG2
Termination of O-glycan Biosynthesis	8/26	0.18106491934496083	0.9569871416466	0	0	1.6162178891983905	2.761954171613216	MUC16;MUC5B;ST6GALNAC3;MUC4;ST3GAL1;MUC3A;MUC20;MUC6
Platelet Activation, Signaling and Aggregation	63/262	0.18304486207074547	0.9648299640314362	0	0	1.1526655142630624	1.957253716708568	DGKG;ORM1;SPARC;DAGLA;ITGB3;ARRB1;ORM2;GNAT3;RAC2;TIMP3;PHACTR2;CD36;SRGN;TRPC3;VWF;HGF;ANXA5;F2R;PLA2G4A;ADRA2C;ADRA2B;ADRA2A;RHOB;APBB1IP;F8;LCK;PECAM1;PRKCQ;TLN1;SOS1;MGLL;DGKI;ITIH4;STXBP2;PDGFB;PDGFA;ABHD6;A1BG;PRKCZ;GNAI1;GNA14;GNA15;GNG2;TBXA2R;GNG7;GNA12;FYN;VTI1B;TGFB2;EGF;FN1;IGF2;VEGFB;VEGFC;PTPN11;IGF1;GNG11;SELP;TF;GNB3;PTPN6;CALM1;LAT
Transport of Bile Salts and Organic Acids, Metal Ions and Amine Compounds	22/84	0.18357587449807303	0.9650137186452759	0	0	1.2909385939871088	2.1883051396185422	SLC13A2;SLC22A3;SLC14A1;SLC13A3;SLC10A6;SLC14A2;SLC47A1;SLC16A1;SLC30A2;SLC41A2;SLC11A2;SLC6A14;SLC22A1;SLC6A12;SLC6A11;SLC6A20;CP;SLC5A7;SLC16A7;SLC16A8;RHAG;SLC39A4
Adaptive Immune System	195/854	0.1922576856553449	0.9999963891873126	0	0	1.0788499925802884	1.7789359207814057	IGHV3-23;ICAM5;IGLV8-61;CDC20;IGLV2-8;IGKV1-16;PPP2R1B;IGKV1-17;AKT2;PRKACG;AKT3;TRBC1;AP1S2;IGKV1-12;PSMD1;IGHV3-7;PRKACA;ICOSLG;HLA-H;CXADR;IGHV3-30;FBXO2;IGKV2D-28;HECW2;BTK;IGKV4-1;IGHV7-81;CD226;PRKCQ;CD101;IGLV10-54;IGKV2D-30;IGHV1-69;CD79A;KLRK1;INPP5D;SLAMF7;SLAMF6;CD14;ICOS;HLA-DQA1;SPTBN2;IGKV2D-40;IGHV3-11;SIGLEC10;SH2D1B;LNPEP;PILRB;TREML1;FBXL8;CALM1;FBXL5;IGHM;SH3KBP1;CD3G;CD3E;CD3D;TRIM9;IGLV7-46;CTLA4;CD36;CD34;SFTPD;KIF22;COL2A1;IGLV3-16;IGLV3-12;IGHD;TLR6;TLR4;IGLV3-19;VAMP3;HLA-DQB1;TLR2;LILRA4;LILRA5;IGLV3-25;IGLV3-27;IGKC;IGLV3-21;LAIR2;RPS27A;PAK3;RNF130;LAIR1;IGKV1-5;MIB2;SPSB2;COL3A1;CD40LG;KLHL5;CAPZA3;SIGLEC8;FBXO27;TRAC;TUBB6;KIF5B;GRAP2;HLA-DOB;SH3GL2;LAG3;S100A1;CD300A;BTN1A1;FBXW9;IGKV1D-39;CYBA;IGKV1D-33;CD8B;CD8A;S100A8;CARD11;BLK;COL17A1;KLRB1;IGHV4-59;DAPP1;FBXO44;FBXO41;RAP1GAP;KLC3;SOCS1;IGLV1-40;IGLV6-57;IGLV1-47;IGLV2-14;IGLV1-44;IGKV3-15;IGLV2-18;TNFRSF14;KLRC1;IGKV3-11;CD300LG;BTNL9;RAP1GAP2;ZBTB16;IGKV1D-16;BTBD6;BTNL2;IGKV1D-12;KLHL20;KIF18A;IGLV1-51;SELL;IGLV2-23;RNF182;NFKBIE;IGKV3-20;LAT;ITGB1;FCGR1BP;IGHV1-2;ITGB2;PTEN;PIK3CD;IGHV4-39;TREM2;ITGAL;KBTBD13;FCGR3A;IGKV2-28;IGLC3;ITGB7;IGLC2;PIANP;IGKV3D-20;PPP2R5A;IGLV4-69;IGLV5-37;ZAP70;LCK;SEC22B;SOS1;IGKV2-30;IGHV2-70;SEC23A;IGHV2-5;TUBAL3;IGLV3-1;FBXL22;IGLV5-45;IGKV1-39;FYN;IGKV1-33;FCGR1A;KLRG1;ERAP2;IGHV3-53;IGLC7;IGKV5-2;FBXL15;PTPN11;PTPN6;PDCD1;ASB5
Activated NTRK2 Signals Through FRS2 and FRS3	4/11	0.1977340562335296	0.9999963891873126	0	0	2.0775245163000267	3.3673188430904935	NTF4;BDNF;PTPN11;SOS1
Dermatan Sulfate Biosynthesis	4/11	0.1977340562335296	0.9999963891873126	0	0	2.0775245163000267	3.3673188430904935	BCAN;VCAN;DSE;BGN
Interleukin-6 Signaling	4/11	0.1977340562335296	0.9999963891873126	0	0	2.0775245163000267	3.3673188430904935	IL6;PTPN11;CBL;IL6ST
Signaling by Activated Point Mutants of FGFR1	4/11	0.1977340562335296	0.9999963891873126	0	0	2.0775245163000267	3.3673188430904935	FGF17;FGF9;FGF20;FGF2
Signaling by SCF-KIT	12/43	0.20164340977759143	0.9999963891873126	0	0	1.4078126873725867	2.2542663159024268	GRB7;SOCS1;LCK;GRAP2;KIT;FYN;PTPN11;PTPN6;GAB2;CBL;SOS1;MMP9
Vasopressin Regulates Renal Water Homeostasis via Aquaporins	12/43	0.20164340977759143	0.9999963891873126	0	0	1.4078126873725867	2.2542663159024268	GNG2;PRKAR2B;GNG7;PRKACG;GNB3;AQP4;ADCY1;PRKACA;AQP3;GNG11;ADCY5;AQP1
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	31/124	0.2043973072704022	0.9999963891873126	0	0	1.2128354725787631	1.9256062597304766	ITIH2;LAMC1;MSLN;CHRDL1;FSTL1;EVA1A;PENK;IGFBP7;APOB;CHGB;IGFBP5;SERPIND1;IGFBP3;TMEM132A;FN1;IGF2;MEPE;IGF1;CP;GZMH;BPIFB2;IL6;TF;VCAN;HRC;IGFALS;MELTF;NOTUM;FBN1;PAPPA2;PNPLA2
Constitutive Signaling by NOTCH1 HD Domain Mutants	5/15	0.20722626513313233	0.9999963891873126	0	0	1.817907678032939	2.861284908580689	DLL4;NEURL1B;NEURL1;MIB2;RPS27A
SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways	5/15	0.20722626513313233	0.9999963891873126	0	0	1.817907678032939	2.861284908580689	CAV1;AKT2;AKT3;SFN;YWHAG
Signaling by NOTCH1 HD Domain Mutants in Cancer	5/15	0.20722626513313233	0.9999963891873126	0	0	1.817907678032939	2.861284908580689	DLL4;NEURL1B;NEURL1;MIB2;RPS27A
YAP1- and WWTR1 (TAZ)-stimulated Gene Expression	5/15	0.20722626513313233	0.9999963891873126	0	0	1.817907678032939	2.861284908580689	TEAD4;KAT2B;TEAD1;RUNX2;HIPK2
p130Cas Linkage to MAPK Signaling for Integrins	5/15	0.20722626513313233	0.9999963891873126	0	0	1.817907678032939	2.861284908580689	APBB1IP;VWF;ITGB3;FN1;TLN1
Transport of Inorganic Cations Anions and Amino Acids Oligopeptides	27/107	0.20859572915158425	0.9999963891873126	0	0	1.2278736302168338	1.9245165878919974	SLC25A1;SLC26A1;SLC24A3;SLC1A3;SLC3A1;SLC4A3;SLC1A6;SLC6A20;SLC4A4;SLC5A5;SLC25A29;SLC26A11;SLC17A7;SLC12A2;SLC34A2;SLC6A14;SLC6A12;SLC9A3;SLC7A5;SLC5A8;SLC25A18;SLC7A6;SLC9A5;SLC9A7;SLC26A7;CALM1;SLC26A4
Negative Regulation of FGFR4 Signaling	9/31	0.20988697764338415	0.9999963891873126	0	0	1.4876205753846803	2.3224525566964154	KLB;FGF17;FGF9;FGF20;PTPN11;CBL;RPS27A;FGFR4;FGF2
Signaling by BMP	9/31	0.20988697764338415	0.9999963891873126	0	0	1.4876205753846803	2.3224525566964154	ACVRL1;BMP2;NOG;SMAD9;BMPR1B;INHA;CHRDL1;FSTL1;CER1
Assembly of Active LPL and LIPC Lipase Complexes	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	ANGPTL8;LPL;PCSK5;CIDEC;LMF1;GPIHBP1
Defective GALNT12 Causes CRCS1	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	MUC16;MUC5B;MUC3A;MUC20;MUC4;MUC6
Ephrin Signaling	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	SDCBP;FYN;EPHB2;PAK3;EPHB1;EPHB3
GABA Synthesis, Release, Reuptake and Degradation	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	HSPA8;SNAP25;RIMS1;STXBP1;SLC6A12;SLC6A11
Glyoxylate Metabolism and Glycine Degradation	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	GCSH;GLDC;AMT;OGDH;HOGA1;DLD
Scavenging by Class A Receptors	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	COLEC11;COL3A1;COL4A2;COL4A1;MASP1;APOB
Signaling by FLT3 Fusion Proteins	6/19	0.21120499104497512	0.9999963891873126	0	0	1.6781367124754596	2.609378566191543	CDKN1A;NOX4;GAB2;SOS1;SPTBN1;ETV6
Acyl Chain Remodelling of PC	8/27	0.2115918742860717	0.9999963891873126	0	0	1.5310560523872354	2.377877001694117	TMEM86B;PLA2G4B;PLA2G2A;PLA2G3;PLA2G4A;PLAAT3;PLA2R1;PLB1
Downstream Signaling of Activated FGFR4	8/27	0.2115918742860717	0.9999963891873126	0	0	1.5310560523872354	2.377877001694117	KLB;FGF17;FGF9;FGF20;PTPN11;FGFR4;SOS1;FGF2
FRS-mediated FGFR1 Signaling	7/23	0.2122505296810766	0.9999963891873126	0	0	1.5907983290786725	2.465718254061876	FGF17;KL;FGF9;FGF20;PTPN11;SOS1;FGF2
